time_s,gyro_z,pid_out,power_w,rpm,amag
414.056114,-0.004,0.004,42.07398,1031.2,9.665
414.056294,-0.005,0.005,42.07398,1031.2,9.654
414.056433,-0.005,0.005,42.07398,1031.2,9.654
414.056579,-0.005,0.005,42.07398,1031.2,9.654
414.056723,-0.005,0.005,42.07398,1031.2,9.654
414.056858,-0.005,0.005,42.07398,1031.2,9.654
414.056994,-0.005,0.005,42.07398,1031.2,9.654
414.057135,-0.006,0.006,42.07398,1031.2,9.641
414.05759,-0.006,0.006,42.07398,1031.2,9.641
414.05773,-0.006,0.006,42.07398,1031.2,9.641
414.061206,-0.005,0.005,42.07398,1031.2,9.696
414.061388,-0.005,0.005,42.07398,1031.2,9.696
414.061523,-0.005,0.005,42.07398,1031.2,9.696
414.061659,-0.005,0.005,42.07398,1031.2,9.696
414.067287,-0.003,0.003,42.07398,1031.2,9.798
414.067422,-0.003,0.003,42.07398,1031.2,9.798
414.067558,-0.003,0.003,42.07398,1031.2,9.798
414.067693,-0.003,0.003,42.07398,1031.2,9.798
414.067829,-0.003,0.003,42.07398,1031.2,9.798
414.067964,-0.003,0.003,42.07398,1031.2,9.798
414.077299,-0.005,0.005,42.07398,1031.2,9.658
414.077435,-0.005,0.005,42.07398,1031.2,9.658
414.07757,-0.005,0.005,42.07398,1031.2,9.658
414.077706,-0.005,0.005,42.07398,1031.2,9.658
414.077841,-0.005,0.005,42.07398,1031.2,9.658
414.077977,-0.005,0.005,42.07398,1031.2,9.658
414.078112,-0.005,0.005,42.07398,1031.2,9.658
414.078251,-0.005,0.005,42.07398,1031.2,9.658
414.078386,-0.004,0.004,42.07398,1031.2,9.669
414.078522,-0.004,0.004,42.07398,1031.2,9.669
414.078657,-0.004,0.004,42.07398,1031.2,9.669
414.080297,-0.007,0.007,42.07398,1031.2,9.666
414.080466,-0.007,0.007,42.07398,1031.2,9.666
414.082102,-0.006,0.006,42.07398,1031.2,9.67
414.083748,-0.005,0.005,42.07398,1031.2,9.717
414.083925,-0.005,0.005,42.07398,1031.2,9.717
414.085458,-0.006,0.006,42.07398,1031.2,9.776
414.085631,-0.006,0.006,42.07398,1031.2,9.776
414.087287,-0.006,0.006,42.07398,1031.2,9.789
414.087428,-0.004,0.004,42.07398,1031.2,9.796
414.097287,-0.003,0.003,42.07398,1031.2,9.667
414.097427,-0.005,0.005,42.07398,1031.2,9.656
414.097563,-0.005,0.005,42.07398,1031.2,9.656
414.097698,-0.005,0.005,42.07398,1031.2,9.656
414.097834,-0.005,0.005,42.07398,1031.2,9.656
414.097969,-0.005,0.005,42.07398,1031.2,9.656
414.098105,-0.005,0.005,42.07398,1031.2,9.656
414.098244,-0.005,0.005,42.07398,1031.2,9.656
414.098396,-0.005,0.005,42.07398,1031.2,9.656
414.098533,-0.005,0.005,42.07398,1031.2,9.66
414.105921,-0.004,0.004,42.07398,1031.2,9.769
414.106104,-0.004,0.004,42.07398,1031.2,9.769
414.106239,-0.004,0.004,42.07398,1031.2,9.769
414.106375,-0.004,0.004,42.07398,1031.2,9.769
414.106516,-0.003,0.003,42.07398,1031.2,9.799
414.106652,-0.003,0.003,42.07398,1031.2,9.799
414.106787,-0.003,0.003,42.07398,1031.2,9.799
414.106923,-0.003,0.003,42.07398,1031.2,9.799
414.107058,-0.003,0.003,42.07398,1031.2,9.799
414.117287,-0.003,0.003,42.07398,1031.2,9.659
414.117422,-0.003,0.003,42.07398,1031.2,9.659
414.117561,-0.006,0.006,42.07398,1031.2,9.653
414.117696,-0.006,0.006,42.07398,1031.2,9.653
414.117832,-0.006,0.006,42.07398,1031.2,9.653
414.117967,-0.006,0.006,42.07398,1031.2,9.653
414.118103,-0.006,0.006,42.07398,1031.2,9.653
414.118238,-0.006,0.006,42.07398,1031.2,9.653
414.118374,-0.006,0.006,42.07398,1031.2,9.653
414.118509,-0.006,0.006,42.07398,1031.2,9.653
414.11865,-0.009,0.009,42.07398,1031.2,9.643
414.118786,-0.009,0.009,42.07398,1031.2,9.643
414.127287,-0.004,0.004,42.07398,1031.2,9.795
414.127422,-0.004,0.004,42.07398,1031.2,9.795
414.127558,-0.004,0.004,42.07398,1031.2,9.795
414.127696,-0.006,0.006,42.07398,1031.2,9.8
414.127832,-0.006,0.006,42.07398,1031.2,9.8
414.127967,-0.006,0.006,42.07398,1031.2,9.8
414.128103,-0.006,0.006,42.07398,1031.2,9.8
414.128238,-0.006,0.006,42.07398,1031.2,9.8
414.128374,-0.006,0.006,42.07398,1031.2,9.8
414.137287,-0.005,0.005,42.07398,1031.2,9.645
414.137422,-0.005,0.005,42.07398,1031.2,9.645
414.137558,-0.005,0.005,42.07398,1031.2,9.645
414.137696,-0.005,0.005,42.07398,1031.2,9.645
414.137832,-0.004,0.004,42.07398,1031.2,9.627
414.137967,-0.004,0.004,42.07398,1031.2,9.627
414.138103,-0.004,0.004,42.07398,1031.2,9.627
414.138238,-0.004,0.004,42.07398,1031.2,9.627
414.138374,-0.004,0.004,42.07398,1031.2,9.627
414.138509,-0.004,0.004,42.07398,1031.2,9.627
414.147966,-0.005,0.005,42.07398,1031.2,9.809
414.14812,-0.005,0.005,42.07398,1031.2,9.809
414.148255,-0.005,0.005,42.07398,1031.2,9.809
414.148391,-0.005,0.005,42.07398,1031.2,9.809
414.148526,-0.005,0.005,42.07398,1031.2,9.809
414.148662,-0.005,0.005,42.07398,1031.2,9.809
414.1488,-0.005,0.005,42.07398,1031.2,9.819
414.148936,-0.005,0.005,42.07398,1031.2,9.819
414.149071,-0.005,0.005,42.07398,1031.2,9.819
414.149207,-0.005,0.005,42.07398,1031.2,9.819
414.156807,-0.003,0.003,43.28974,1002.8,9.7
414.156992,-0.004,0.004,43.28974,1002.8,9.658
414.157138,-0.004,0.004,43.28974,1002.8,9.658
414.157287,-0.004,0.004,43.28974,1002.8,9.658
414.157422,-0.004,0.004,43.28974,1002.8,9.658
414.157558,-0.004,0.004,43.28974,1002.8,9.658
414.157693,-0.004,0.004,43.28974,1002.8,9.658
414.157829,-0.004,0.004,43.28974,1002.8,9.658
414.157969,-0.004,0.004,43.28974,1002.8,9.647
414.158105,-0.004,0.004,43.28974,1002.8,9.647
414.162496,-0.004,0.004,43.28974,1002.8,9.653
414.16268,-0.004,0.004,43.28974,1002.8,9.653
414.162825,-0.004,0.004,43.28974,1002.8,9.653
414.162965,-0.003,0.003,43.28974,1002.8,9.667
414.1631,-0.003,0.003,43.28974,1002.8,9.667
414.167287,-0.004,0.004,43.28974,1002.8,9.763
414.167422,-0.004,0.004,43.28974,1002.8,9.763
414.167558,-0.004,0.004,43.28974,1002.8,9.763
414.167693,-0.004,0.004,43.28974,1002.8,9.763
414.177287,-0.003,0.003,43.28974,1002.8,9.678
414.177422,-0.003,0.003,43.28974,1002.8,9.678
414.17767,-0.003,0.003,43.28974,1002.8,9.678
414.177805,-0.003,0.003,43.28974,1002.8,9.678
414.17795,-0.003,0.003,43.28974,1002.8,9.678
414.178088,-0.003,0.003,43.28974,1002.8,9.671
414.178224,-0.003,0.003,43.28974,1002.8,9.671
414.178359,-0.003,0.003,43.28974,1002.8,9.671
414.178506,-0.003,0.003,43.28974,1002.8,9.671
414.178641,-0.003,0.003,43.28974,1002.8,9.671
414.178777,-0.003,0.003,43.28974,1002.8,9.671
414.180446,-0.004,0.004,43.28974,1002.8,9.656
414.180615,-0.004,0.004,43.28974,1002.8,9.656
414.182248,-0.009,0.009,43.28974,1002.8,9.656
414.182425,-0.009,0.009,43.28974,1002.8,9.656
414.184007,-0.006,0.006,43.28974,1002.8,9.664
414.184188,-0.006,0.006,43.28974,1002.8,9.701
414.185712,-0.01,0.01,43.28974,1002.8,9.729
414.187287,-0.009,0.009,43.28974,1002.8,9.76
414.187422,-0.009,0.009,43.28974,1002.8,9.76
414.197287,-0.003,0.003,43.28974,1002.8,9.664
414.197422,-0.003,0.003,43.28974,1002.8,9.664
414.197558,-0.003,0.003,43.28974,1002.8,9.664
414.197693,-0.003,0.003,43.28974,1002.8,9.664
414.197829,-0.003,0.003,43.28974,1002.8,9.664
414.197964,-0.003,0.003,43.28974,1002.8,9.664
414.1981,-0.003,0.003,43.28974,1002.8,9.664
414.198238,-0.004,0.004,43.28974,1002.8,9.657
414.198374,-0.004,0.004,43.28974,1002.8,9.657
414.198509,-0.004,0.004,43.28974,1002.8,9.657
414.198645,-0.004,0.004,43.28974,1002.8,9.657
414.206105,-0.006,0.006,43.28974,1002.8,9.741
414.206292,-0.003,0.003,43.28974,1002.8,9.755
414.206428,-0.003,0.003,43.28974,1002.8,9.755
414.206563,-0.003,0.003,43.28974,1002.8,9.755
414.206699,-0.003,0.003,43.28974,1002.8,9.755
414.206834,-0.003,0.003,43.28974,1002.8,9.755
414.20697,-0.003,0.003,43.28974,1002.8,9.755
414.207105,-0.003,0.003,43.28974,1002.8,9.755
414.217292,-0.005,0.005,43.28974,1002.8,9.702
414.217428,-0.004,0.004,43.28974,1002.8,9.664
414.217563,-0.004,0.004,43.28974,1002.8,9.664
414.217699,-0.004,0.004,43.28974,1002.8,9.664
414.217834,-0.004,0.004,43.28974,1002.8,9.664
414.217969,-0.004,0.004,43.28974,1002.8,9.664
414.218105,-0.004,0.004,43.28974,1002.8,9.664
414.21824,-0.004,0.004,43.28974,1002.8,9.664
414.218379,-0.005,0.005,43.28974,1002.8,9.646
414.218514,-0.005,0.005,43.28974,1002.8,9.646
414.21865,-0.005,0.005,43.28974,1002.8,9.646
414.218785,-0.005,0.005,43.28974,1002.8,9.646
414.227287,-0.006,0.006,43.28974,1002.8,9.747
414.227428,-0.005,0.005,43.28974,1002.8,9.775
414.227563,-0.005,0.005,43.28974,1002.8,9.775
414.227699,-0.005,0.005,43.28974,1002.8,9.775
414.227834,-0.005,0.005,43.28974,1002.8,9.775
414.22797,-0.005,0.005,43.28974,1002.8,9.775
414.228105,-0.005,0.005,43.28974,1002.8,9.775
414.228241,-0.005,0.005,43.28974,1002.8,9.775
414.228381,-0.005,0.005,43.28974,1002.8,9.775
414.228516,-0.005,0.005,43.28974,1002.8,9.791
414.237287,-0.005,0.005,43.28974,1002.8,9.716
414.237422,-0.005,0.005,43.28974,1002.8,9.716
414.237564,-0.003,0.003,43.28974,1002.8,9.68
414.237699,-0.003,0.003,43.28974,1002.8,9.68
414.237835,-0.003,0.003,43.28974,1002.8,9.68
414.23797,-0.003,0.003,43.28974,1002.8,9.68
414.238106,-0.003,0.003,43.28974,1002.8,9.68
414.238241,-0.003,0.003,43.28974,1002.8,9.68
414.238377,-0.003,0.003,43.28974,1002.8,9.68
414.247287,-0.006,0.006,43.28974,1002.8,9.756
